country,city,year,url
China,Beijing,2008,http://www.stateair.net/web/assets/historical/1/Beijing_2008_HourlyPM2.5_created20140325.csv
China,Beijing,2009,http://www.stateair.net/web/assets/historical/1/Beijing_2009_HourlyPM25_created20140709.csv
China,Beijing,2010,http://www.stateair.net/web/assets/historical/1/Beijing_2010_HourlyPM25_created20140709.csv
China,Beijing,2011,http://www.stateair.net/web/assets/historical/1/Beijing_2011_HourlyPM25_created20140709.csv
China,Beijing,2012,http://www.stateair.net/web/assets/historical/1/Beijing_2012_HourlyPM2.5_created20140325.csv
China,Beijing,2013,http://www.stateair.net/web/assets/historical/1/Beijing_2013_HourlyPM2.5_created20140325.csv
China,Beijing,2014,http://www.stateair.net/web/assets/historical/1/Beijing_2014_HourlyPM25_created20150203.csv
China,Beijing,2015,http://www.stateair.net/web/assets/historical/1/Beijing_2015_HourlyPM25_created20160201.csv
China,Beijing,2016,http://www.stateair.net/web/assets/historical/1/Beijing_2016_HourlyPM25_created20170201.csv
China,Beijing,2017,http://www.stateair.net/web/assets/historical/1/Beijing_2017_HourlyPM25_created20170803.csv
China,Shanghai,2011,http://www.stateair.net/web/assets/historical/4/Shanghai_2011_HourlyPM25_created20140423.csv
China,Shanghai,2012,http://www.stateair.net/web/assets/historical/4/Shanghai_2012_HourlyPM25_created20140423.csv
China,Shanghai,2013,http://www.stateair.net/web/assets/historical/4/Shanghai_2013_HourlyPM25_created20140423.csv
China,Shanghai,2014,http://www.stateair.net/web/assets/historical/4/Shanghai_2014_HourlyPM25_created20150203.csv
China,Shanghai,2015,http://www.stateair.net/web/assets/historical/4/Shanghai_2015_HourlyPM25_created20160201.csv
China,Shanghai,2016,http://www.stateair.net/web/assets/historical/1/Shanghai_2016_HourlyPM25_created20170201.csv
China,Shanghai,2017,http://www.stateair.net/web/assets/historical/1/Shanghai_2017_HourlyPM25_created20170803.csv
China,Chengdu,2012,http://www.stateair.net/web/assets/historical/2/Chengdu_2012_HourlyPM25_created20140423.csv
China,Chengdu,2013,http://www.stateair.net/web/assets/historical/2/Chengdu_2013_HourlyPM25_created20140423.csv
China,Chengdu,2014,http://www.stateair.net/web/assets/historical/2/Chengdu_2014_HourlyPM25_created20150203.csv
China,Chengdu,2015,http://www.stateair.net/web/assets/historical/2/Chengdu_2015_HourlyPM25_created20160201.csv
China,Chengdu,2016,http://www.stateair.net/web/assets/historical/1/Chengdu_2016_HourlyPM25_created20170201.csv
China,Chengdu,2017,http://www.stateair.net/web/assets/historical/1/Chengdu_2017_HourlyPM25_created20170803.csv
China,Guangzhou,2011,http://www.stateair.net/web/assets/historical/3/Guangzhou_2011_HourlyPM25_created20140423.csv
China,Guangzhou,2012,http://www.stateair.net/web/assets/historical/3/Guangzhou_2012_HourlyPM25_created20140423.csv
China,Guangzhou,2013,http://www.stateair.net/web/assets/historical/3/Guangzhou_2013_HourlyPM25_created20140423.csv
China,Guangzhou,2014,http://www.stateair.net/web/assets/historical/3/Guangzhou_2014_HourlyPM25_created20150203.csv
China,Guangzhou,2015,http://www.stateair.net/web/assets/historical/3/Guangzhou_2015_HourlyPM25_created20160201.csv
China,Guangzhou,2016,http://www.stateair.net/web/assets/historical/1/Guangzhou_2016_HourlyPM25_created20170201.csv
China,Guangzhou,2017,http://www.stateair.net/web/assets/historical/1/Guangzhou_2017_HourlyPM25_created20170803.csv
China,Shenyang,2013,http://www.stateair.net/web/assets/historical/5/Shenyang_2013_HourlyPM25_created20140423.csv
China,Shenyang,2014,http://www.stateair.net/web/assets/historical/5/Shenyang_2014_HourlyPM25_created20150203.csv
China,Shenyang,2015,http://www.stateair.net/web/assets/historical/5/Shenyang_2015_HourlyPM25_created20160201.csv
China,Shenyang,2016,http://www.stateair.net/web/assets/historical/5/Shenyang_2016_HourlyPM25_created20170201.csv
China,Shenyang,2017,http://www.stateair.net/web/assets/historical/1/Shenyang_2017_HourlyPM25_created20170803.csv


